Name;Insertions;Deletions;Fitness
UN;2;0;0.83
UO;1;0;0.93
UP;0;0;1.00
UQ;1;0;0.96
UR;0;0;1.00
US;0;0;1.00
UT;2;1;0.88
UU;3;0;0.80
UV;0;0;1.00
UW;0;1;0.96
UX;0;0;1.00
UY;3;1;0.80
UZ;0;0;1.00
V;0;2;0.95
VA;0;0;1.00
VAA;0;1;0.97
VB;0;0;1.00
VBA;3;0;0.77
VC;0;0;1.00
VCA;0;0;1.00
VD;3;1;0.83
VDA;0;0;1.00
VE;0;2;0.94
VEA;0;0;1.00
VF;0;0;1.00
VFA;0;0;1.00
VG;1;0;0.97
VGA;2;0;0.89
VH;2;0;0.83
VHA;2;0;0.83
VI;0;0;1.00
VIA;0;5;0.93
VJ;0;0;1.00
VJA;4;0;0.60
VK;1;1;0.95
VKA;0;0;1.00
VL;0;0;1.00
VLA;0;0;1.00
VM;1;0;0.97
VMA;4;0;0.60
VN;0;2;0.96
VO;0;1;0.98
VP;1;0;0.97
VQ;0;0;1.00
VR;1;1;0.94
VS;0;0;1.00
VT;0;1;0.97
VU;0;0;1.00
VV;2;0;0.83
VW;1;1;0.93
VX;2;0;0.83
VY;1;0;0.97
VZ;2;0;0.86
W;0;0;1.00
WA;3;0;0.84
WAA;0;1;0.96
WB;2;0;0.83
WBA;1;0;0.96
WC;0;1;0.96
WCA;0;1;0.97
WD;4;0;0.60
WDA;0;2;0.97
WE;1;2;0.91
WEA;1;0;0.93
WF;0;1;0.98
WFA;0;0;1.00
WG;0;0;1.00
WGA;0;5;0.93
WH;2;0;0.83
WHA;0;0;1.00
WI;2;0;0.90
WIA;3;0;0.77
WJA;0;1;0.97
WK;3;2;0.71
WKA;0;1;0.97
WL;3;2;0.74
WLA;2;0;0.93
WM;0;0;1.00
WMA;2;0;0.83
WN;0;0;1.00
WO;0;1;0.97
WP;0;0;1.00
WQ;0;0;1.00
WR;1;3;0.88
WS;1;0;0.92
WT;1;0;0.97
WU;0;2;0.94
WV;0;0;1.00
WW;0;1;0.97
WX;0;0;1.00
WY;4;0;0.60
WZ;0;0;1.00
X;1;0;0.96
XA;4;0;0.60
XAA;1;1;0.92
XB;0;0;1.00
XBA;0;4;0.92
XC;0;0;1.00
XCA;0;3;0.96
XD;0;1;0.95
XDA;1;0;0.92
XE;0;0;1.00
XEA;0;0;1.00
XF;0;0;1.00
XFA;1;1;0.95
XG;0;0;1.00
XGA;2;1;0.90
XH;0;0;1.00
XHA;0;0;1.00
XI;0;7;0.90
XIA;2;0;0.83
XJ;0;0;1.00
XJA;0;0;1.00
XK;1;0;0.92
XKA;0;0;1.00
XL;0;0;1.00
XLA;0;0;1.00
XM;0;0;1.00
XMA;4;0;0.60
XN;2;1;0.91
XO;0;0;1.00
XP;0;0;1.00
XQ;0;0;1.00
XR;3;1;0.71
XS;0;0;1.00
XT;1;0;0.97
XU;0;0;1.00
XV;2;0;0.89
XW;0;0;1.00
XX;0;2;0.91
XY;0;0;1.00
XZ;0;2;0.93
Y;0;0;1.00
YA;1;0;0.92
YAA;0;0;1.00
YB;0;0;1.00
YBA;0;0;1.00
YC;2;2;0.78
YCA;0;0;1.00
YD;0;0;1.00
YDA;0;0;1.00
YE;0;0;1.00
YEA;0;0;1.00
YF;0;3;0.95
YFA;0;0;1.00
YG;0;0;1.00
YGA;0;0;1.00
YH;2;0;0.88
YHA;1;0;0.97
YI;0;0;1.00
YIA;0;2;0.98
YJ;2;0;0.92
YJA;2;1;0.88
YK;0;0;1.00
YKA;0;0;1.00
YL;0;0;1.00
YLA;1;9;0.91
YM;0;1;0.96
YMA;2;0;0.91
YN;5;2;0.59
YO;0;0;1.00
YP;0;1;0.98
YQ;0;0;1.00
YR;0;0;1.00
YS;0;1;0.98
YT;1;0;0.97
YU;4;0;0.60
YV;0;0;1.00
YW;2;0;0.91
YX;0;25;0.83
YY;0;3;0.92
YZ;1;1;0.93
Z;1;0;0.95
ZA;0;0;1.00
ZAA;0;0;1.00
ZB;0;0;1.00
ZBA;2;0;0.92
ZC;2;2;0.80
ZCA;0;0;1.00
ZD;2;0;0.88
ZDA;0;1;0.97
ZE;0;0;1.00
ZEA;0;1;0.97
ZF;0;0;1.00
ZFA;0;0;1.00
ZG;0;0;1.00
ZGA;0;0;1.00
ZH;0;0;1.00
ZHA;0;3;0.94
ZI;0;0;1.00
ZIA;0;0;1.00
ZJ;0;0;1.00
ZJA;0;0;1.00
ZK;1;0;0.96
ZKA;0;1;0.97
ZL;0;0;1.00
ZLA;0;0;1.00
ZM;0;0;1.00
ZMA;0;12;0.90
ZN;2;0;0.83
ZO;0;0;1.00
ZP;1;1;0.92
ZQ;0;0;1.00
ZR;0;0;1.00
ZS;0;0;1.00
ZT;0;0;1.00
ZU;0;0;1.00
ZV;0;0;1.00
ZW;0;0;1.00
ZX;0;0;1.00
ZY;0;0;1.00
ZZ;0;0;1.00
